Date,Open,High,Low,Close,Adj Close,Volume
2021-08-16,2710.0,2755.0,2559.5,2755.0,2755.0,113
2021-08-17,2705.0,2825.0,2585.0,2800.0,2800.0,119
2021-08-18,2760.0,2789.0,2630.5,2665.0,2665.0,55
2021-08-19,2620.0,2730.0,2590.0,2640.0,2640.0,40
2021-08-20,2635.0,2765.0,2630.0,2715.0,2715.0,33
2021-08-23,2760.0,2905.0,2760.0,2875.0,2875.0,40
2021-08-24,2895.0,2995.0,2835.5,2995.0,2995.0,97
2021-08-25,3000.0,3200.0,2895.0,3165.0,3165.0,172
2021-08-26,3187.5,3250.0,2945.0,3020.0,3020.0,112
2021-08-27,3005.0,3236.5,2945.0,3025.0,3025.0,142
2021-08-30,3060.0,3145.0,3030.0,3100.0,3100.0,48
2021-08-31,3130.0,3305.0,2975.0,3260.0,3260.0,185
2021-09-01,3315.0,3315.0,3105.0,3250.0,3250.0,88
2021-09-02,3305.0,3305.0,3175.0,3280.0,3280.0,103
2021-09-03,3310.0,3425.0,3250.0,3310.0,3310.0,278
2021-09-07,3275.0,3500.0,3275.0,3445.0,3445.0,227
2021-09-08,3500.0,3710.0,3425.0,3600.0,3600.0,425
2021-09-09,3560.0,3750.0,3455.0,3750.0,3750.0,220
2021-09-10,3730.0,3810.0,3680.0,3720.0,3720.0,105
2021-09-13,3700.0,3805.0,3445.0,3500.0,3500.0,166
2021-09-14,3520.0,3875.0,3520.0,3675.0,3675.0,211
2021-09-15,3755.0,3815.0,3566.5,3715.0,3715.0,213
2021-09-16,3765.0,3920.0,3687.5,3920.0,3920.0,62
2021-09-17,3930.0,3955.0,3776.0,3955.0,3955.0,85
2021-09-20,3930.0,4000.0,3550.0,3660.0,3660.0,115
2021-09-21,3665.0,3775.0,3520.0,3610.0,3610.0,83
2021-09-22,3625.0,3745.0,3500.0,3745.0,3745.0,89
2021-09-23,3765.0,4100.0,3700.0,3895.0,3895.0,177
2021-09-24,3855.0,4100.0,3735.0,3950.0,3950.0,120
2021-09-27,4000.0,4185.0,3830.0,4130.0,4130.0,155
2021-09-28,4085.0,4150.0,3890.0,4130.0,4130.0,76
2021-09-29,4120.0,4140.0,3893.0,4060.0,4060.0,112
2021-09-30,4120.0,4425.0,3989.0,4285.0,4285.0,89
